restaurant_name,restaurant_link
Pavement Coffeehouse,https://www.yelp.com/biz/pavement-coffeehouse-boston?osq=Restaurants
Boston Pocket & Deli,https://www.yelp.com/biz/boston-pocket-and-deli-boston?osq=Restaurants
Boston Chops South End,https://www.yelp.com/biz/boston-chops-south-end-boston?osq=Restaurants
Mooncusser,https://www.yelp.com/biz/mooncusser-boston-4?osq=Restaurants
Back Bay Sandwich,https://www.yelp.com/biz/back-bay-sandwich-boston?osq=Restaurants
Newsfeed Cafe,https://www.yelp.com/biz/newsfeed-cafe-boston?osq=Restaurants
Amelia’s Taqueria,https://www.yelp.com/biz/amelias-taqueria-boston-5?osq=Restaurants
Darryl’s Corner Bar & Kitchen,https://www.yelp.com/biz/darryls-corner-bar-and-kitchen-boston?osq=Restaurants
Off the Common,https://www.yelp.com/biz/off-the-common-boston?osq=Restaurants
Rebecca’s Cafe,https://www.yelp.com/biz/rebeccas-cafe-boston-9?osq=Restaurants
Giorgiana’s,https://www.yelp.com/biz/giorgianas-boston?osq=Restaurants
Energize,https://www.yelp.com/biz/energize-boston-2?osq=Restaurants
Cusser’s Roast Beef and Seafood,https://www.yelp.com/biz/cussers-roast-beef-and-seafood-boston-2?osq=Restaurants
Kings Dining & Entertainment,https://www.yelp.com/biz/kings-dining-and-entertainment-boston?osq=Restaurants
El Centro,https://www.yelp.com/biz/el-centro-boston?osq=Restaurants
Café24,https://www.yelp.com/biz/caf%C3%A924-boston?osq=Restaurants
Cheers,https://www.yelp.com/biz/cheers-boston?osq=Restaurants
Teriyaki House,https://www.yelp.com/biz/teriyaki-house-boston-2?osq=Restaurants
Billy’s Sub Shop,https://www.yelp.com/biz/billys-sub-shop-boston?osq=Restaurants
Supreme Pizza,https://www.yelp.com/biz/supreme-pizza-boston-4?osq=Restaurants
Clerys,https://www.yelp.com/biz/clerys-boston-2?osq=Restaurants
Wendy’s,https://www.yelp.com/biz/wendys-boston-4?osq=Restaurants
Strega Italiano - Back Bay,https://www.yelp.com/biz/strega-italiano-back-bay-boston?osq=Restaurants
Nu Burger,https://www.yelp.com/biz/nu-burger-boston?osq=Restaurants
Nusr-et Steakhouse,https://www.yelp.com/biz/nusr-et-steakhouse-boston?osq=Restaurants
Basile - Fine Italian Kitchen,https://www.yelp.com/biz/basile-fine-italian-kitchen-boston?osq=Restaurants
FiRE + iCE Grill + Bar,https://www.yelp.com/biz/fire-ice-grill-bar-boston?osq=Restaurants
Symphony Sushi,https://www.yelp.com/biz/symphony-sushi-boston?osq=Restaurants
House of Siam,https://www.yelp.com/biz/house-of-siam-boston?osq=Restaurants
Boloco Berklee,https://www.yelp.com/biz/boloco-berklee-boston?osq=Restaurants
Met Back Bay - Temp. CLOSED,https://www.yelp.com/biz/met-back-bay-boston?osq=Restaurants
Five Guys,https://www.yelp.com/biz/five-guys-boston-2?osq=Restaurants
J.P. Licks,https://www.yelp.com/biz/j-p-licks-boston-3?osq=Restaurants
by CHLOE. - Back Bay,https://www.yelp.com/biz/by-chloe-back-bay-boston?osq=Restaurants
Red Lantern,https://www.yelp.com/biz/red-lantern-boston?osq=Restaurants
Daddy’s Bonetown Burgers,https://www.yelp.com/biz/daddys-bonetown-burgers-boston-2?osq=Restaurants
Hsin Hsin,https://www.yelp.com/biz/hsin-hsin-boston?osq=Restaurants
Union Park Pizza,https://www.yelp.com/biz/union-park-pizza-boston?osq=Restaurants
Pressed Juicery,https://www.yelp.com/biz/pressed-juicery-boston?osq=Restaurants
South End Buttery,https://www.yelp.com/biz/south-end-buttery-boston-2?osq=Restaurants
Caffé Nero,https://www.yelp.com/biz/caff%C3%A9-nero-boston-44?osq=Restaurants
Estragon,https://www.yelp.com/biz/estragon-boston-3?osq=Restaurants
Berkeley Perk Cafe,https://www.yelp.com/biz/berkeley-perk-cafe-boston?osq=Restaurants
Burritos and Tacos To Go,https://www.yelp.com/biz/burritos-and-tacos-to-go-boston?osq=Restaurants
Deluca’s,https://www.yelp.com/biz/delucas-boston?osq=Restaurants
Flour Bakery & Cafe,https://www.yelp.com/biz/flour-bakery-and-cafe-boston-2?osq=Restaurants
Nicole’s Pizza,https://www.yelp.com/biz/nicoles-pizza-boston-2?osq=Restaurants
New York Pizza,https://www.yelp.com/biz/new-york-pizza-boston-7?osq=Restaurants
Moody’s Delicatessen & Provisions,https://www.yelp.com/biz/moodys-delicatessen-and-provisions-boston?osq=Restaurants
Berklee Cafeteria,https://www.yelp.com/biz/berklee-cafeteria-boston?osq=Restaurants
Vejigantes,https://www.yelp.com/biz/vejigantes-boston-2?osq=Restaurants
The Cafe Royale,https://www.yelp.com/biz/the-cafe-royale-boston?osq=Restaurants
Bin 26 Enoteca,https://www.yelp.com/biz/bin-26-enoteca-boston?osq=Restaurants
Whisk,https://www.yelp.com/biz/whisk-boston-3?osq=Restaurants
Boston Baddest Burger,https://www.yelp.com/biz/boston-baddest-burger-boston?osq=Restaurants
The Salty Pig,https://www.yelp.com/biz/the-salty-pig-boston?osq=Restaurants
The Friendly Toast,https://www.yelp.com/biz/the-friendly-toast-back-bay?osq=Restaurants
Dig,https://www.yelp.com/biz/dig-boston-3?osq=Restaurants
Luke’s Lobster Back Bay,https://www.yelp.com/biz/lukes-lobster-back-bay-boston?osq=Restaurants
Mike & Patty’s - Boston,https://www.yelp.com/biz/mike-and-pattys-boston-boston?osq=Restaurants
Sorellina,https://www.yelp.com/biz/sorellina-boston?osq=Restaurants
Ostra,https://www.yelp.com/biz/ostra-boston?osq=Restaurants
140 Supper Club,https://www.yelp.com/biz/140-supper-club-boston?osq=Restaurants
Fogo de Chão,https://www.yelp.com/biz/fogo-de-ch%C3%A3o-boston-4?osq=Restaurants
"Greystone Cafe, Bakery, and Provisions",https://www.yelp.com/biz/greystone-cafe-bakery-and-provisions-boston?osq=Restaurants
Figs by Todd English,https://www.yelp.com/biz/figs-by-todd-english-boston-2?osq=Restaurants
French Quarter,https://www.yelp.com/biz/french-quarter-boston?osq=Restaurants
Thai Basil Restaurant,https://www.yelp.com/biz/thai-basil-restaurant-boston-2?osq=Restaurants
Q Restaurant,https://www.yelp.com/biz/q-restaurant-boston?osq=Restaurants
Myers & Chang,https://www.yelp.com/biz/myers-and-chang-boston?osq=Restaurants
The Beehive,https://www.yelp.com/biz/the-beehive-boston?osq=Restaurants
Café Susu by Suitsupply,https://www.yelp.com/biz/caf%C3%A9-susu-by-suitsupply-boston?osq=Restaurants
Sekali Boston,https://www.yelp.com/biz/sekali-boston-boston?osq=Restaurants
Big Daddy’s Hot Dog Stand,https://www.yelp.com/biz/big-daddys-hot-dog-stand-boston?osq=Restaurants
Rebel’s Guild,https://www.yelp.com/biz/rebels-guild-boston?osq=Restaurants
MJ O’Connor’s Back Bay,https://www.yelp.com/biz/mj-o-connor-s-back-bay-boston?osq=Restaurants
Cafe Med,https://www.yelp.com/biz/cafe-med-boston?osq=Restaurants
Cha Cha Cha Taqueria,https://www.yelp.com/biz/cha-cha-cha-taqueria-boston-2?osq=Restaurants
Picco Pizza & Ice Cream,https://www.yelp.com/biz/picco-pizza-and-ice-cream-boston?osq=Restaurants
Tatte Bakery & Cafe,https://www.yelp.com/biz/tatte-bakery-and-cafe-boston?osq=Restaurants
Coppa Enoteca,https://www.yelp.com/biz/coppa-enoteca-boston?osq=Restaurants
Shaking Crab - Boston Common,https://www.yelp.com/biz/shaking-crab-boston-common-boston?osq=Restaurants
Five Horses Tavern,https://www.yelp.com/biz/five-horses-tavern-boston-2?osq=Restaurants
Boloco,https://www.yelp.com/biz/boloco-boston-52?osq=Restaurants
Rock&Rye,https://www.yelp.com/biz/rock-and-rye-boston?osq=Restaurants
Banh Mi Huong Que,https://www.yelp.com/biz/banh-mi-huong-que-boston?osq=Restaurants
Flour Bakery + Cafe,https://www.yelp.com/biz/flour-bakery-cafe-boston-9?osq=Restaurants
Maria’s Taqueria,https://www.yelp.com/biz/marias-taqueria-boston?osq=Restaurants
Oishii Boston,https://www.yelp.com/biz/oishii-boston-boston?osq=Restaurants
Champions,https://www.yelp.com/biz/champions-boston-2?osq=Restaurants
Grotto,https://www.yelp.com/biz/grotto-boston?osq=Restaurants
Shake Shack,https://www.yelp.com/biz/shake-shack-boston?osq=Restaurants
Garbanzo Mediterranean Fresh,https://www.yelp.com/biz/garbanzo-mediterranean-fresh-boston-5?osq=Restaurants
"MOOYAH Burgers, Fries & Shakes",https://www.yelp.com/biz/mooyah-burgers-fries-and-shakes-boston-5?osq=Restaurants
Bar Mezzana,https://www.yelp.com/biz/bar-mezzana-boston?osq=Restaurants
No Relation,https://www.yelp.com/biz/no-relation-boston-2?osq=Restaurants
Burro Bar South End,https://www.yelp.com/biz/burro-bar-south-end-boston-2?osq=Restaurants
The Sevens Ale House,https://www.yelp.com/biz/the-sevens-ale-house-boston?osq=Restaurants
Ho Toy Noodles,https://www.yelp.com/biz/ho-toy-noodles-boston?osq=Restaurants
Stir,https://www.yelp.com/biz/stir-boston?osq=Restaurants
Teatro,https://www.yelp.com/biz/teatro-boston?osq=Restaurants
Chilacates Mexican Street Food,https://www.yelp.com/biz/chilacates-mexican-street-food-boston-3?osq=Restaurants
Penang,https://www.yelp.com/biz/penang-boston?osq=Restaurants
Rock Bottom Restaurant & Brewery,https://www.yelp.com/biz/rock-bottom-restaurant-and-brewery-boston-2?osq=Restaurants
No. 9 Park,https://www.yelp.com/biz/no-9-park-boston?osq=Restaurants
Franklin Cafe,https://www.yelp.com/biz/franklin-cafe-boston-5?osq=Restaurants
Sally’s Sandwiches,https://www.yelp.com/biz/sallys-sandwiches-boston?osq=Restaurants
Viga Italian Eatery & Caterer,https://www.yelp.com/biz/viga-italian-eatery-and-caterer-boston-3?osq=Restaurants
Ali Baba,https://www.yelp.com/biz/ali-baba-boston?osq=Restaurants
Blaze Pizza,https://www.yelp.com/biz/blaze-pizza-boston-3?osq=Restaurants
Trophy Room - Temp. CLOSED,https://www.yelp.com/biz/trophy-room-boston-3?osq=Restaurants
Club Café,https://www.yelp.com/biz/club-caf%C3%A9-boston-3?osq=Restaurants
Yellow Door Taqueria - South End,https://www.yelp.com/biz/yellow-door-taqueria-south-end-boston?osq=Restaurants
Pho Pasteur,https://www.yelp.com/biz/pho-pasteur-boston?osq=Restaurants
Florina Pizzeria & Paninoteca,https://www.yelp.com/biz/florina-pizzeria-and-paninoteca-boston?osq=Restaurants
Genki Ya - Boston,https://www.yelp.com/biz/genki-ya-boston-boston?osq=Restaurants
Dumpling Cafe,https://www.yelp.com/biz/dumpling-cafe-boston?osq=Restaurants
Happy Lamb Hot Pot,https://www.yelp.com/biz/happy-lamb-hot-pot-boston?osq=Restaurants
Tatte Bakery & Cafe,https://www.yelp.com/biz/tatte-bakery-and-cafe-boston-17?osq=Restaurants
Park Square Cafe,https://www.yelp.com/biz/park-square-cafe-boston?osq=Restaurants
Upper Crust Pizzeria,https://www.yelp.com/biz/upper-crust-pizzeria-boston-2?osq=Restaurants
Boston Kitchen Pizza,https://www.yelp.com/biz/boston-kitchen-pizza-boston?osq=Restaurants
Liuyishou Hotpot,https://www.yelp.com/biz/liuyishou-hotpot-boston-2?osq=Restaurants
Wendy’s,https://www.yelp.com/biz/wendys-boston-7?osq=Restaurants
Tatte Bakery & Cafe,https://www.yelp.com/biz/tatte-bakery-and-cafe-boston-18?osq=Restaurants
The Chubby Chickpea,https://www.yelp.com/biz/the-chubby-chickpea-canton-3?osq=Restaurants
The Fish Shack,https://www.yelp.com/biz/the-fish-shack-boston?osq=Restaurants
POST NO 10,https://www.yelp.com/biz/post-no-10-boston?osq=Restaurants
