"","CT_ID_10","Guns_2020","PrivateConflict_2020","SocDis_2020","Violence_2020","NUM_REST","PRIVATENEGLECT","PUBLICDENIG_count","PropViol2020_rate","CodeViol2020_rate","AV_LAND_PER_SF.res","AV_LAND_PER_SF.nonres","Buildingpermit_totalcount","Type","ForBorn","White","Black","Hispanic","MedHouseIncome","HomeOwnPer","ListingsFreq.Clist","MedianRent.Clist","ListingsFreq.Airbnb","MedianRent.Airbnb"
"57",25025051000,1.84766988298091,5.95360295627181,1.23177992198727,10.0595360295627,4,58,110,16.4237322931636,262.779716690618,121.308227216263,8.62415410471319,43,"R",0.35183223893243,0.463461131116289,0.027960177928405,0.412624443973734,54174,0.34084661902144,68,2400,274,124.5
"58",25025051101,0.664540138224349,4.51887293992557,1.86071238702818,12.227538543328,17,102,188,9.30356193514088,256.512493354599,98.4023320380365,8.08332095911547,67,"I",0.41459607128919,0.361909717705217,0.0286197476258618,0.540913230128789,69145,0.411888701517707,52,2200,732,90
"59",25025051200,0.691802144586648,4.49671393981321,2.42130750605327,8.30162573503978,3,98,170,6.91802144586648,356.278104462124,179.659561674447,7.4786731650916,36,"R",0.339268051434224,0.600725354434553,0.0194526871084735,0.324101549620837,83952,0.365413533834586,100,2300,671,150
"60",25025060101,0.857878181298256,5.14726908778953,2.85959393766085,5.14726908778953,4,67,137,2.85959393766085,274.521018015442,123.649801766539,3.98237656608519,38,"R",0.0409247940473027,0.961998405527505,0.00983258038798831,0.0143502524581451,132305,0.463524854744997,55,2400,292,125
"61",25025060200,0.871459694989107,1.74291938997821,1.74291938997821,3.05010893246187,1,39,106,13.0718954248366,331.154684095861,190.916826020034,4.11332786703747,27,"R",0.0361388492629577,0.965763195435093,0.00427960057061341,0.0233000475511175,140592,0.550387596899225,45,2650,153,189
"62",25025060301,0.27359781121751,2.7359781121751,4.10396716826265,9.57592339261286,11,65,128,10.9439124487004,268.12585499316,167.986145323838,20.1657400837753,55,"R",0.048969761841049,0.918383730264918,0.00428150923200428,0.0535188654000535,134792,0.506115317414094,470,2700,342,237.5
"63",25025060400,0.530879490355689,6.01663422403115,2.65439745177845,9.55583082640241,7,83,206,17.6959830118563,357.458856839497,211.979218186008,7.92399536953083,73,"R",0.0505158306652437,0.92244752757026,0.0208110992529349,0.0256136606189968,135750,0.47940074906367,125,2500,927,150
"64",25025060501,0.491279783836895,8.10611643330877,6.87791697371653,16.7035126504544,13,105,275,4.91279783836895,429.869810857283,98.906812697616,14.7314523520668,56,"R",0.0640150623676159,0.871263826782772,0.0101200282419393,0.0404801129677571,137554,0.50564001961746,144,2500,833,150
"65",25025060600,2.76166804750069,11.5990057995029,8.008837337752,27.892847279757,114,43,93,0,262.358464512566,37.9069014561402,865.932703477911,70,"I",0.142719846227775,0.824843825084094,0.0182604517059106,0.0285920230658337,155379,0.280030604437643,1175,3163,2485,236
"66",25025060700,6.88336520076482,6.11854684512428,3.05927342256214,17.5908221797323,0,17,15,0,22.9445506692161,0,159.362968510135,1,"R",0.410637465780211,0.109503324208056,0.322643723113023,0.448572545952288,18179,0,25,2550,64,180
"67",25025060800,1.62149640954366,9.49733611304146,8.57076673615937,13.6668983090109,11,135,242,4.63284688441047,938.15149409312,138.403387580435,21.508983345049,54,"R",0.109288453344695,0.82083510864934,0.000213037920749893,0.0549637835534725,124545,0.540627885503232,135,2600,808,155
"68",25025061000,4.95816547877285,5.88782150604276,7.43724821815928,22.0018593120545,4,32,42,0,158.041524635885,135.514167657494,8.72530666484341,14,"R",0.186827105763141,0.501583280557315,0.173527549081697,0.286890436985434,38056,0.20653685674548,20,2630,242,149
"69",25025061101,11.7391304347826,16.0869565217391,7.39130434782609,52.1739130434783,1,72,13,0,47.8260869565217,99.0859476359789,135.292848280684,5,"P",0.31409978308026,0.213449023861171,0.193058568329718,0.380043383947939,15576,0.00893655049151028,5,3000,23,115
"70",25025061200,4.13223140495868,14.9219467401286,47.7502295684114,46.3728191000918,37,114,246,0,727.731864095501,52.6191112225377,29.0989838133081,98,"I",0.129363001745201,0.835078534031414,0.0050174520069808,0.056500872600349,153869,0.473791141812271,152,2600,1472,144
"71",25025070101,5.93639575971731,18.3745583038869,29.8233215547703,90.1766784452297,259,70,409,5.65371024734982,490.459363957597,1.95891150076959,958.115306774256,146,"D",0.405587798623296,0.535564853556485,0.0179511405047915,0.092320151167499,85333,0.306388888888889,341,2800,7079,189
